auto93.csv

   1    kmeans9 (        *                |                        ), 0.167,  0.167,  0.167,  0.167,  0.167
   1   kmeans20 (        *                |                        ), 0.167,  0.167,  0.167,  0.167,  0.167
   1   kmeans32 (        *                |                        ), 0.167,  0.167,  0.167,  0.167,  0.167
   1   kmeans64 (        *                |                        ), 0.167,  0.167,  0.167,  0.167,  0.167
   1  kmeanspp9 (        *                |                        ), 0.167,  0.167,  0.167,  0.167,  0.167
   1 kmeanspp20 (        *                |                        ), 0.167,  0.167,  0.167,  0.167,  0.167
   1 kmeanspp32 (        *                |                        ), 0.167,  0.167,  0.167,  0.167,  0.167
   1 kmeanspp64 (        *                |                        ), 0.167,  0.167,  0.167,  0.167,  0.167
   2      rrp64 (        -*-----          |                        ), 0.167,  0.167,  0.193,  0.275,  0.310
   3     rand64 (         *---            |                        ), 0.167,  0.190,  0.193,  0.254,  0.275
   4      rrp32 (         ---*--          |                        ), 0.167,  0.190,  0.242,  0.275,  0.310
   5     rand32 (         ---*---         |                        ), 0.190,  0.195,  0.260,  0.312,  0.324
   6       rrp9 (            ---*----     |                        ), 0.193,  0.242,  0.307,  0.326,  0.414
   6      rrp20 (            ---*         |                        ), 0.190,  0.242,  0.307,  0.322,  0.326
   6     rand20 (            ---*-        |                        ), 0.190,  0.254,  0.308,  0.324,  0.349
   7      rand9 (               -*---     |                        ), 0.190,  0.304,  0.333,  0.385,  0.412
   8      smo64 (                 -*------|                        ), 0.322,  0.349,  0.362,  0.423,  0.515
   9      smo32 (                 --*-----|--                      ), 0.324,  0.357,  0.390,  0.470,  0.560
   9      smo20 (                 ---*----|                        ), 0.322,  0.355,  0.402,  0.456,  0.528
   9       smo9 (                   -*----|-                       ), 0.333,  0.385,  0.412,  0.452,  0.559
__________________________________________________________________________________________

