pom3.csv

   1    kmeans9 ( *                       |                        ), 0.038,  0.038,  0.038,  0.038,  0.038
   1   kmeans20 ( *                       |                        ), 0.038,  0.038,  0.038,  0.038,  0.038
   1   kmeans32 ( *                       |                        ), 0.038,  0.038,  0.038,  0.038,  0.038
   1   kmeans64 ( *                       |                        ), 0.038,  0.038,  0.038,  0.038,  0.038
   1  kmeanspp9 ( *                       |                        ), 0.038,  0.038,  0.038,  0.038,  0.038
   1 kmeanspp20 ( *                       |                        ), 0.038,  0.038,  0.038,  0.038,  0.038
   1 kmeanspp32 ( *                       |                        ), 0.038,  0.038,  0.038,  0.038,  0.038
   1 kmeanspp64 ( *                       |                        ), 0.038,  0.038,  0.038,  0.038,  0.038
   2      rrp64 (   -*-                   |                        ), 0.067,  0.071,  0.089,  0.103,  0.135
   3      rrp32 (   --*--                 |                        ), 0.067,  0.073,  0.100,  0.140,  0.163
   3     rand64 (    -*--                 |                        ), 0.073,  0.089,  0.103,  0.135,  0.160
   4       rrp9 (    --*-----------       |                        ), 0.073,  0.092,  0.126,  0.195,  0.368
   4      rrp20 (    --*--                |                        ), 0.071,  0.092,  0.126,  0.166,  0.195
   5     rand32 (     --*-                |                        ), 0.089,  0.115,  0.142,  0.169,  0.190
   6     rand20 (      --*----            |                        ), 0.089,  0.123,  0.167,  0.209,  0.271
   7      rand9 (       ----*--------     |                        ), 0.124,  0.142,  0.230,  0.320,  0.408
   8      smo20 (        -----*-----------|                        ), 0.127,  0.177,  0.270,  0.414,  0.527
   8       smo9 (        -----*-----------|------                  ), 0.144,  0.169,  0.276,  0.461,  0.646
   9      smo64 (            ------*------|--                      ), 0.156,  0.257,  0.361,  0.528,  0.568
   9      smo32 (              ----*------|------                  ), 0.174,  0.294,  0.373,  0.538,  0.650
__________________________________________________________________________________________

